老师区间,实际执行日,推定形成日,原始状态,调整后三状态,调整原因,+1反转,-1反转,0转-1,0转+1,原始策略日收益,调整策略日收益,指数日收益,局部原始三状态_NAV,局部加入四反转_NAV,局部普通指数_NAV
红色区间2,2024-05-31,2024-05-30,-1,-1,基础-1,0,0,0,0,0.0018707249925989,0.0018707249925989,-0.0018707249925989,0.9953785207339854,1.0189288510762553,1.0074887485846362
红色区间2,2024-06-03,2024-05-31,-1,-1,基础-1,0,0,0,0,0.0070859856675242,0.0070859856675242,-0.0070859856675242,1.0024645064015096,1.0260148367437794,1.0004027629171122
红色区间2,2024-06-04,2024-06-03,-1,-1,基础-1,0,0,0,0,-0.0124718575620244,-0.0124718575620244,0.0124718575620244,0.9899926488394852,1.013542979181755,1.0128746204791366
红色区间2,2024-06-05,2024-06-04,-1,-1,基础-1,0,0,0,0,0.0070084305713119,0.0070084305713119,-0.0070084305713119,0.9970010794107971,1.0205514097530668,1.0058661899078245
红色区间2,2024-06-06,2024-06-05,-1,-1,基础-1,0,0,0,0,0.008385982343677,0.008385982343677,-0.008385982343677,1.005387061754474,1.028937392096744,0.9974802075641476
红色区间2,2024-06-07,2024-06-06,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0123368584622246,1.005387061754474,1.028937392096744,0.985143349101923
红色区间2,2024-06-11,2024-06-07,0,0,基础0,0,0,0,0,0.0,0.0,0.0051561889250468,1.005387061754474,1.028937392096744,0.9902995380269698
红色区间2,2024-06-12,2024-06-11,0,0,基础0,0,0,0,0,0.0,0.0,0.004372165939892,1.005387061754474,1.028937392096744,0.9946717039668618
红色区间2,2024-06-13,2024-06-12,0,-1,0转-1持有,0,0,1,0,-0.0,0.0098665504465138,-0.0098665504465138,1.005387061754474,1.0388039425432578,0.984805153520348
红色区间2,2024-06-14,2024-06-13,0,-1,0转-1持有,0,0,1,0,0.0,-0.0017364476230832,0.0017364476230832,1.005387061754474,1.0370674949201746,0.9865416011434313
红色区间2,2024-06-17,2024-06-14,0,0,基础0,0,0,0,0,0.0,0.0,0.0036023659526054,1.005387061754474,1.0370674949201746,0.9901439670960366
红色区间2,2024-06-18,2024-06-17,0,0,基础0,0,0,0,0,0.0,0.0,0.0052799957265561,1.005387061754474,1.0370674949201746,0.9954239628225927
红色区间2,2024-06-19,2024-06-18,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0140034836948343,1.005387061754474,1.0370674949201746,0.9814204791277584
红色区间2,2024-06-20,2024-06-19,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0159309834763189,1.005387061754474,1.0370674949201746,0.9654894956514395
红色区间2,2024-06-21,2024-06-20,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0014015567874989,1.005387061754474,1.0370674949201746,0.9640879388639406
红色区间2,2024-06-24,2024-06-21,0,-1,0转-1持有,0,0,1,0,-0.0,0.0165059639219566,-0.0165059639219566,1.005387061754474,1.053573458842131,0.947581974941984
红色区间2,2024-06-25,2024-06-24,0,-1,0转-1持有,0,0,1,0,-0.0,0.0094017698243757,-0.0094017698243757,1.005387061754474,1.0629752286665068,0.9381802051176084
红色区间2,2024-06-26,2024-06-25,-1,-1,基础-1,0,0,0,0,-0.0114986848274516,-0.0114986848274516,0.0114986848274516,0.9938883769270225,1.0514765438390552,0.9496788899450599
红色区间2,2024-06-27,2024-06-26,-1,-1,基础-1,0,0,0,0,0.0168682552424151,0.0168682552424151,-0.0168682552424151,1.0107566321694377,1.0683447990814703,0.9328106347026448
红色区间2,2024-06-28,2024-06-27,-1,-1,基础-1,0,0,0,0,-0.0059245898803403,-0.0059245898803403,0.0059245898803403,1.0048320422890973,1.06242020920113,0.9387352245829851
红色区间2,2024-07-01,2024-06-28,-1,-1,基础-1,0,0,0,0,-0.0114869438036233,-0.0114869438036233,0.0114869438036233,0.993345098485474,1.0509332653975068,0.9502221683866084
红色区间2,2024-07-02,2024-07-01,-1,-1,基础-1,0,0,0,0,0.0110339895464436,0.0110339895464436,-0.0110339895464436,1.0043790880319177,1.0619672549439503,0.9391881788401648
红色区间2,2024-07-03,2024-07-02,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0056533350976668,1.0043790880319177,1.0619672549439503,0.9335348437424981
红色区间2,2024-07-04,2024-07-03,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0180131480570362,1.0043790880319177,1.0619672549439503,0.9155216956854618
红色区间2,2024-07-05,2024-07-04,-1,-1,基础-1,0,0,0,0,-0.0058319528150603,-0.0058319528150603,0.0058319528150603,0.9985471352168573,1.05613530212889,0.9213536485005221
红色区间2,2024-07-08,2024-07-05,-1,-1,基础-1,0,0,0,0,0.0168233452394568,0.0168233452394568,-0.0168233452394568,1.0153704804563142,1.0729586473683468,0.9045303032610653
红色区间2,2024-07-09,2024-07-08,-1,-1,基础-1,0,0,0,0,-0.0172072277313082,-0.0172072277313082,0.0172072277313082,0.998163252725006,1.0557514196370386,0.9217375309923735
红色区间2,2024-07-10,2024-07-09,-1,-1,基础-1,0,0,0,0,-0.0093314994617581,-0.0093314994617581,0.0093314994617581,0.9888317532632478,1.0464199201752804,0.9310690304541316
红色区间2,2024-07-11,2024-07-10,-1,-1,基础-1,0,0,0,0,-0.0049299477324293,-0.0049299477324293,0.0049299477324293,0.9839018055308185,1.0414899724428512,0.935998978186561
红色区间2,2024-07-12,2024-07-11,-1,0,-1退出到0,0,1,0,0,0.0047625714504452,-0.0,-0.0047625714504452,0.9886643769812637,1.0414899724428512,0.9312364067361157
红色区间2,2024-07-15,2024-07-12,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0052850035508194,0.9886643769812637,1.0414899724428512,0.9259514031852963
红色区间2,2024-07-16,2024-07-15,0,0,基础0,0,0,0,0,0.0,0.0,0.0032419010903106,0.9886643769812637,1.0414899724428512,0.9291933042756069
红色区间2,2024-07-17,2024-07-16,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0145672130684557,0.9886643769812637,1.0414899724428512,0.9146260912071512
红色区间2,2024-07-18,2024-07-17,0,0,基础0,0,0,0,0,0.0,0.0,0.0064104240401798,0.9886643769812637,1.0414899724428512,0.921036515247331
红色区间2,2024-07-19,2024-07-18,0,0,基础0,0,0,0,0,0.0,0.0,0.0040374674673135,0.9886643769812637,1.0414899724428512,0.9250739827146445
红色区间2,2024-07-22,2024-07-19,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0019836695380622,0.9886643769812637,1.0414899724428512,0.9230903131765823
红色区间2,2024-07-23,2024-07-22,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.030985896377533,0.9886643769812637,1.0414899724428512,0.8921044167990493
红色区间2,2024-07-24,2024-07-23,0,-1,0转-1持有,0,0,1,0,-0.0,0.0144017756134123,-0.0144017756134123,0.9886643769812637,1.0558917480562635,0.877702641185637
红色区间2,2024-07-25,2024-07-24,0,-1,0转-1持有,0,0,1,0,0.0,-0.0056034102157431,0.0056034102157431,0.9886643769812637,1.0502883378405203,0.8833060514013801
红色区间2,2024-07-26,2024-07-25,0,0,基础0,0,0,0,0,0.0,0.0,0.014999144728417,0.9886643769812637,1.0502883378405203,0.8983051961297971
红色区间2,2024-07-29,2024-07-26,0,1,0转+1持有,0,0,0,1,-0.0,-0.0096981984386032,-0.0096981984386032,0.9886643769812637,1.0405901394019172,0.8886069976911939
红色区间2,2024-07-30,2024-07-29,0,1,0转+1持有,0,0,0,1,0.0,4.347617981426133e-05,4.347617981426133e-05,0.9886643769812637,1.0406336155817315,0.8886504738710082
红色区间2,2024-07-31,2024-07-30,0,1,0转+1持有,0,0,0,1,0.0,0.0424182329765245,0.0424182329765245,0.9886643769812637,1.0830518485582559,0.9310687068475326
红色区间2,2024-08-01,2024-07-31,0,1,0转+1持有,0,0,0,1,-0.0,-0.0157204800805024,-0.0157204800805024,0.9886643769812637,1.0673313684777535,0.9153482267670303
红色区间2,2024-08-02,2024-08-01,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0126348759104566,0.9886643769812637,1.0673313684777535,0.9027133508565737
红色区间2,2024-08-05,2024-08-02,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0032845567737517,0.9886643769812637,1.0673313684777535,0.899428794082822
红色区间2,2024-08-06,2024-08-05,0,0,基础0,0,0,0,0,0.0,0.0,0.0015876960642946,0.9886643769812637,1.0673313684777535,0.9010164901471166
红色区间2,2024-08-07,2024-08-06,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0022931013424802,0.9886643769812637,1.0673313684777535,0.8987233888046363
红色区间2,2024-08-08,2024-08-07,0,0,基础0,0,0,0,0,0.0,0.0,0.0086897391727207,0.9886643769812637,1.0673313684777535,0.9074131279773571
红色区间2,2024-08-09,2024-08-08,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0128281719810454,0.9886643769812637,1.0673313684777535,0.8945849559963117
红色区间2,2024-08-12,2024-08-09,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0006361511825253,0.9886643769812637,1.0673313684777535,0.8939488048137864
红色区间2,2024-08-13,2024-08-12,0,0,基础0,0,0,0,0,0.0,0.0,0.0033633719150512,0.9886643769812637,1.0673313684777535,0.8973121767288376
红色区间2,2024-08-14,2024-08-13,0,-1,0转-1持有,0,0,1,0,-0.0,0.015459295169836,-0.015459295169836,0.9886643769812637,1.0827906636475895,0.8818528815590015
红色区间2,2024-08-15,2024-08-14,0,-1,0转-1持有,0,0,1,0,0.0,-0.0100734963316257,0.0100734963316257,0.9886643769812637,1.072717167315964,0.8919263778906272
红色区间2,2024-08-16,2024-08-15,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0079244337778251,0.9886643769812637,1.072717167315964,0.8840019441128022
红色区间2,2024-08-19,2024-08-16,0,0,基础0,0,0,0,0,0.0,0.0,0.0038497056402431,0.9886643769812637,1.072717167315964,0.8878516497530453
红色区间2,2024-08-20,2024-08-19,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0203245747897847,0.9886643769812637,1.072717167315964,0.8675270749632605
红色区间2,2024-08-21,2024-08-20,0,0,基础0,0,0,0,0,0.0,0.0,8.871042691827036e-05,0.9886643769812637,1.072717167315964,0.8676157853901788
红色区间2,2024-08-22,2024-08-21,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0142727884955374,0.9886643769812637,1.072717167315964,0.8533429968946414
红色区间2,2024-08-23,2024-08-22,0,0,基础0,0,0,0,0,0.0,0.0,0.0041701456194416,0.9886643769812637,1.072717167315964,0.8575131425140831
红色区间2,2024-08-26,2024-08-23,0,-1,0转-1持有,0,0,1,0,-0.0,0.0022827708135347,-0.0022827708135347,0.9886643769812637,1.0749999381294986,0.8552303717005483
红色区间2,2024-08-27,2024-08-26,0,-1,0转-1持有,0,0,1,0,-0.0,0.0101610901796257,-0.0101610901796257,0.9886643769812637,1.0851610283091242,0.8450692815209226
