date,close,score,predicted,actual_extreme,correct,direction_correct,o2o_bp,signed_o2o_bp,phase
2025-12-02,7040.3008,0.3064595474614892,0,0,0,0,-61.341914004553466,-61.341914004553466,test
2025-12-03,6996.3552,0.42044285390530445,0,0,0,0,10.007509238225687,10.007509238225687,test
2025-12-04,7012.8061,0.3516140178751598,0,0,0,0,157.52222268450967,157.52222268450967,test
2025-12-05,7097.8389,0.2748966191449047,0,0,0,0,44.84010579499875,44.84010579499875,test
2025-12-08,7172.3671,0.34969742913619745,0,0,0,0,-55.10075419248195,-55.10075419248195,test
2025-12-09,7121.3256,0.40638655197901524,0,0,0,0,83.8596762838817,83.8596762838817,test
2025-12-10,7155.9944,0.31137989411697464,0,0,0,0,-115.89093658824324,-115.89093658824324,test
2025-12-11,7082.8932,0.6024750452810432,0,0,0,0,46.95249718609462,46.95249718609462,test
2025-12-12,7169.791,0.33819073421202583,0,0,0,0,-27.678481721346017,-27.678481721346017,test
2025-12-15,7113.962,0.36127033209568854,0,0,0,0,-139.63364333367423,-139.63364333367423,test
2025-12-16,7001.3188,0.6826722403418881,0,0,0,0,134.91612089065575,134.91612089065575,test
2025-12-17,7137.8339,0.3408975675309546,0,0,0,0,38.64037126206421,38.64037126206421,test
2025-12-18,7100.8359,0.3960299440512832,0,0,0,0,113.81231933139003,113.81231933139003,test
2025-12-19,7169.5511,0.3875927095897299,0,0,0,0,72.7481507500749,72.7481507500749,test
2025-12-22,7255.6607,0.2851051929747864,0,0,0,0,-0.4031464936249396,-0.4031464936249396,test
2025-12-23,7256.7864,0.27028855941339697,0,0,0,0,116.16391886315247,116.16391886315247,test
2025-12-24,7352.0396,0.2561955022091418,0,0,0,0,109.88825092850706,109.88825092850706,test
2025-12-25,7410.7119,0.28561789349345645,0,0,0,0,60.49469394921347,60.49469394921347,test
2025-12-26,7458.8386,0.3457575278607668,0,0,0,0,-103.60141478059082,-103.60141478059082,test
2025-12-29,7430.6147,0.3658248389671592,0,0,0,0,113.1400788926884,113.1400788926884,test
2025-12-30,7458.936,0.3702997788972864,0,0,0,0,67.06604750955192,67.06604750955192,test
2025-12-31,7465.5742,0.24234526174270857,0,1,0,0,186.1621738180297,186.1621738180297,test
2026-01-05,7651.1981,0.22934839055059142,0,1,0,0,228.30289088193067,228.30289088193067,test
2026-01-06,7814.1356,0.23409131016443413,0,0,0,0,18.239011883218748,18.239011883218748,test
2026-01-07,7875.0822,0.3653713029487684,0,0,0,0,69.57614485462172,69.57614485462172,test
2026-01-08,7894.5447,0.37932181896266315,0,1,0,0,295.6274389930447,295.6274389930447,test
2026-01-09,8056.6858,0.28186386395433183,0,0,0,0,158.19468597072063,158.19468597072063,test
2026-01-12,8249.1275,0.3036000496807816,0,0,0,0,-127.04357155929546,-127.04357155929546,test
2026-01-13,8143.28,0.8656610327861978,1,0,0,1,6.11927079199992,6.11927079199992,test
2026-01-14,8227.697,0.7819313994665721,0,0,0,0,87.32161073274236,87.32161073274236,test
2026-01-15,8223.2683,0.4361536463347511,0,0,0,0,-51.19676012213637,-51.19676012213637,test
2026-01-16,8232.674,0.4521786246039481,0,0,0,0,131.88977189410033,131.88977189410033,test
2026-01-19,8287.947,0.4699444781905116,0,0,0,0,-133.71436244914548,-133.71436244914548,test
2026-01-20,8247.8049,0.6391564952951378,0,1,0,0,194.13225541725865,194.13225541725865,test
2026-01-21,8340.1133,0.35713374498623335,0,0,0,0,79.79962751317737,79.79962751317737,test
2026-01-22,8387.595,0.32195387604888703,0,1,0,0,240.46976593639747,240.46976593639747,test
2026-01-23,8590.1659,0.3022540997284667,0,0,0,0,-185.78547852034166,-185.78547852034166,test
2026-01-26,8506.6932,0.7976859315185711,0,0,0,0,118.9516344348962,118.9516344348962,test
2026-01-27,8548.9321,0.4076969202934524,0,0,0,0,22.581476870477957,22.581476870477957,test
2026-01-28,8601.1644,0.41845990788822174,0,0,0,0,-168.93837611151042,-168.93837611151042,test
2026-01-29,8517.8429,0.7475058910921074,0,0,0,0,-189.50685694117064,-189.50685694117064,test
2026-01-30,8370.5203,0.6192028979384597,0,0,0,0,-173.73218344515107,-173.73218344515107,test
2026-02-02,8037.0456,0.7850090212755035,0,1,0,0,165.8975643157734,165.8975643157734,test
2026-02-03,8286.7005,0.3774756415270617,0,0,0,0,-81.94969750359161,-81.94969750359161,test
2026-02-04,8299.0574,0.38228884121334206,0,0,0,0,-181.45015519630326,-181.45015519630326,test
2026-02-05,8146.1073,0.6169118560471903,0,1,0,0,280.4627339364285,280.4627339364285,test
2026-02-06,8146.4128,0.4487066557860745,0,0,0,0,46.40482501872434,46.40482501872434,test
2026-02-09,8311.2829,0.3530795486440557,0,0,0,0,-27.88941438889525,-27.88941438889525,test
2026-02-10,8306.4448,0.37630435959884373,0,0,0,0,56.697425248506406,56.697425248506406,test
2026-02-11,8325.8107,0.38897730570806405,0,0,0,0,28.730102315113193,28.730102315113193,test
2026-02-12,8423.5695,0.3804635708380339,0,0,0,0,44.19845746751028,44.19845746751028,test
2026-02-13,8299.585,0.6889673510098775,0,0,0,0,10.435649016709014,10.435649016709014,test
2026-02-24,8392.9098,0.5171170508215961,0,0,0,0,155.43409002291898,155.43409002291898,test
2026-02-25,8527.5593,0.4111575100996175,0,0,0,0,-50.37755393632493,-50.37755393632493,test
2026-02-26,8557.216,0.4063659521212211,0,0,0,0,101.24678643746554,101.24678643746554,test
2026-02-27,8658.4503,0.3225744185956237,0,0,0,0,75.94655645995374,75.94655645995374,test
2026-03-02,8658.3336,0.3651828855454303,0,0,0,0,-558.4042880294437,-558.4042880294437,test
2026-03-03,8281.6139,0.890466331931121,1,1,1,1,263.9150328102491,263.9150328102491,test
2026-03-04,8248.945,0.6326882521702908,0,0,0,0,-131.64297629461365,-131.64297629461365,test
2026-03-05,8309.1713,0.6393783756841651,0,0,0,0,-47.12841535269408,-47.12841535269408,test
2026-03-06,8360.3347,0.47800337437460944,0,0,0,0,129.88765735346686,129.88765735346686,test
2026-03-09,8279.4811,0.43561038143183406,0,0,0,0,93.7111185710493,93.7111185710493,test
2026-03-10,8410.303,0.3521805506257791,0,0,0,0,-26.829156615615357,-26.829156615615357,test
2026-03-11,8403.3296,0.3535765821857417,0,0,0,0,-94.01561480740783,-94.01561480740783,test
2026-03-12,8359.4721,0.5521425071479096,0,0,0,0,-108.30618396141966,-108.30618396141966,test
2026-03-13,8239.798,0.800207794868649,0,0,0,0,-33.66751691713521,-33.66751691713521,test
2026-03-16,8185.152,0.49433605780212964,0,0,0,0,-189.11480481092147,-189.11480481092147,test
2026-03-17,8016.0262,0.8143420310968629,1,0,0,0,-85.85655546595517,-85.85655546595517,test
2026-03-18,8096.4276,0.3816810161048226,0,0,0,0,-78.18893031269924,-78.18893031269924,test
2026-03-19,7877.09,0.734755941700173,0,0,0,0,-366.7673412274186,-366.7673412274186,test
2026-03-20,7760.0365,0.770036645750091,0,0,0,0,-89.41442073103656,-89.41442073103656,test
2026-03-23,7440.7451,0.8172812248004552,1,0,0,1,139.4016673651355,139.4016673651355,test
2026-03-24,7597.3732,0.364503698231382,0,0,0,0,126.12603604075234,126.12603604075234,test
