signal_key,signal_label,run_id,start_date,end_date,run_length_trading_days,phase,raw_h1_mean_bp,directional_h1_mean_bp
minus_entry,零段向下（0→-1）,71,2021-10-25,2021-10-25,1,Development,143.95708439397526,-143.95708439397526
minus_entry,零段向下（0→-1）,72,2021-11-18,2021-11-18,1,Development,-36.255308347789004,36.255308347789004
minus_entry,零段向下（0→-1）,73,2021-12-07,2021-12-07,1,Development,-67.5360851937945,67.5360851937945
minus_entry,零段向下（0→-1）,74,2021-12-20,2021-12-20,1,Development,-137.12344269925515,137.12344269925515
minus_entry,零段向下（0→-1）,75,2022-01-05,2022-01-05,1,Development,-212.35257917132543,212.35257917132543
minus_entry,零段向下（0→-1）,76,2022-02-16,2022-02-16,1,Development,-21.93973198372334,21.93973198372334
minus_entry,零段向下（0→-1）,77,2022-02-25,2022-02-25,1,Development,37.9833636155813,-37.9833636155813
minus_entry,零段向下（0→-1）,78,2022-03-21,2022-03-21,1,Development,4.481466137000734,-4.481466137000734
minus_entry,零段向下（0→-1）,79,2022-04-01,2022-04-01,1,Development,117.04155728933907,-117.04155728933907
minus_entry,零段向下（0→-1）,80,2022-04-13,2022-04-13,1,Development,-33.71839838469004,33.71839838469004
minus_entry,零段向下（0→-1）,81,2022-05-10,2022-05-10,1,Development,297.92375559549276,-297.92375559549276
minus_entry,零段向下（0→-1）,82,2022-05-26,2022-05-26,1,Development,125.35118902260889,-125.35118902260889
minus_entry,零段向下（0→-1）,83,2022-07-27,2022-07-27,1,Development,94.68154344026702,-94.68154344026702
minus_entry,零段向下（0→-1）,84,2022-08-03,2022-08-03,1,Development,-18.035467267800698,18.035467267800698
minus_entry,零段向下（0→-1）,85,2022-09-01,2022-09-01,1,Development,-29.238519184950906,29.238519184950906
minus_entry,零段向下（0→-1）,86,2022-09-16,2022-09-16,1,Development,-235.68053390511045,235.68053390511045
minus_entry,零段向下（0→-1）,87,2022-10-25,2022-10-25,1,Development,12.026551933637109,-12.026551933637109
minus_entry,零段向下（0→-1）,88,2022-11-25,2022-11-25,1,Development,-156.3073537168447,156.3073537168447
minus_entry,零段向下（0→-1）,89,2022-12-29,2022-12-29,1,Development,53.620645279723874,-53.620645279723874
minus_entry,零段向下（0→-1）,90,2023-02-17,2023-02-17,1,Validation,-58.3412126402505,58.3412126402505
minus_entry,零段向下（0→-1）,91,2023-03-08,2023-03-08,1,Validation,74.40563441391434,-74.40563441391434
minus_entry,零段向下（0→-1）,92,2023-03-31,2023-03-31,1,Validation,98.3957904372046,-98.3957904372046
minus_entry,零段向下（0→-1）,93,2023-04-24,2023-04-24,1,Validation,-72.54097708297213,72.54097708297213
minus_entry,零段向下（0→-1）,94,2023-05-10,2023-05-10,1,Validation,30.052854692030895,-30.052854692030895
minus_entry,零段向下（0→-1）,95,2023-05-30,2023-05-30,1,Validation,59.179702573144425,-59.179702573144425
minus_entry,零段向下（0→-1）,96,2023-06-08,2023-06-08,1,Validation,-5.064868445793236,5.064868445793236
minus_entry,零段向下（0→-1）,97,2023-07-11,2023-07-11,1,Validation,66.1389802909551,-66.1389802909551
minus_entry,零段向下（0→-1）,98,2023-09-04,2023-09-04,1,Validation,83.0559235468531,-83.0559235468531
minus_entry,零段向下（0→-1）,99,2023-09-11,2023-09-11,1,Validation,89.89662290251887,-89.89662290251887
minus_entry,零段向下（0→-1）,100,2023-10-10,2023-10-10,1,Validation,-46.931848496015725,46.931848496015725
minus_entry,零段向下（0→-1）,101,2023-10-19,2023-10-19,1,Validation,-96.96935142162188,96.96935142162188
