series,run_id,state,state_label,start_date,end_date,start_formation_date,end_formation_date,phase,holding_days,previous_state,next_state,formation_mechanism,source_detail,segment_return,return_available,+1反转_days,-1反转_days,0转-1_days,0转+1_days,大涨_days,大跌_days
Adj 1545,204,0,0,2021-09-08,2021-09-08,2021-09-07,2021-09-07,Train,1,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,1,0,0,0,0,0
Adj 1545,205,1,+1,2021-09-09,2021-09-09,2021-09-08,2021-09-08,Train,1,0,0.0,基础+1短段,基础+1,0.010434318777898577,True,0,0,0,0,0,0
Adj 1545,207,-1,-1,2021-09-16,2021-09-17,2021-09-15,2021-09-16,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.04133855468303771,True,0,0,2,0,1,0
Adj 1545,210,0,0,2021-10-12,2021-10-13,2021-10-11,2021-10-12,Train,2,-1,-1.0,退出反转切出的0段,-1退出到0,0.0,True,0,2,0,0,0,0
Adj 1545,212,0,0,2021-11-02,2021-11-03,2021-11-01,2021-11-02,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,215,-1,-1,2021-11-18,2021-11-18,2021-11-17,2021-11-17,Train,1,0,0.0,0转-1持有路径短段,0转-1持有,0.0036255308347789006,True,0,0,1,0,0,0
Adj 1545,216,0,0,2021-11-19,2021-11-19,2021-11-18,2021-11-18,Train,1,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,221,0,0,2021-12-17,2021-12-17,2021-12-16,2021-12-16,Train,1,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,223,0,0,2021-12-27,2021-12-28,2021-12-24,2021-12-27,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,229,-1,-1,2022-02-16,2022-02-17,2022-02-15,2022-02-16,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.006601694443018724,True,0,0,2,0,0,0
Adj 1545,232,0,0,2022-03-08,2022-03-09,2022-03-07,2022-03-08,Train,2,-1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,1,0
Adj 1545,234,0,0,2022-03-17,2022-03-17,2022-03-16,2022-03-16,Train,1,-1,1.0,退出反转切出的0段,-1退出到0,0.0,True,0,1,0,0,0,0
Adj 1545,235,1,+1,2022-03-18,2022-03-18,2022-03-17,2022-03-17,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,0.01457448592489996,True,0,0,0,1,0,0
Adj 1545,236,0,0,2022-03-21,2022-03-22,2022-03-18,2022-03-21,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,237,1,+1,2022-03-23,2022-03-23,2022-03-22,2022-03-22,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,0.0004174418196742913,True,0,0,0,1,0,0
Adj 1545,240,0,0,2022-04-08,2022-04-08,2022-04-07,2022-04-07,Train,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,241,1,+1,2022-04-11,2022-04-12,2022-04-08,2022-04-11,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,-0.016940578780488047,True,0,0,0,2,0,0
Adj 1545,242,0,0,2022-04-13,2022-04-14,2022-04-12,2022-04-13,Train,2,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,246,0,0,2022-05-10,2022-05-11,2022-05-09,2022-05-10,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,2
Adj 1545,247,1,+1,2022-05-12,2022-05-13,2022-05-11,2022-05-12,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,0.02311610067164338,True,0,0,0,2,0,0
Adj 1545,250,0,0,2022-05-26,2022-05-27,2022-05-25,2022-05-26,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,1
Adj 1545,253,1,+1,2022-06-21,2022-06-22,2022-06-20,2022-06-21,Train,2,0,0.0,基础+1短段,基础+1,-0.021898174406515314,True,0,0,0,0,0,0
Adj 1545,254,0,0,2022-06-23,2022-06-23,2022-06-22,2022-06-22,Train,1,1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,258,0,0,2022-07-25,2022-07-25,2022-07-22,2022-07-22,Train,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,259,1,+1,2022-07-26,2022-07-26,2022-07-25,2022-07-25,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,0.010001187971141468,True,0,0,0,1,0,0
Adj 1545,260,0,0,2022-07-27,2022-07-28,2022-07-26,2022-07-27,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,261,1,+1,2022-07-29,2022-07-29,2022-07-28,2022-07-28,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,-0.009932682667076809,True,0,0,0,1,0,0
Adj 1545,262,0,0,2022-08-01,2022-08-02,2022-07-29,2022-08-01,Train,2,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,264,0,0,2022-08-11,2022-08-11,2022-08-10,2022-08-10,Train,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,268,1,+1,2022-09-14,2022-09-15,2022-09-13,2022-09-14,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,-0.01955296764206138,True,0,0,0,2,0,0
Adj 1545,269,0,0,2022-09-16,2022-09-16,2022-09-15,2022-09-15,Train,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,274,-1,-1,2022-10-25,2022-10-26,2022-10-24,2022-10-25,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.01946291553774726,True,0,0,2,0,0,0
Adj 1545,277,0,0,2022-11-25,2022-11-28,2022-11-24,2022-11-25,Train,2,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,283,1,+1,2022-12-28,2022-12-28,2022-12-27,2022-12-27,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,-0.004346655250275666,True,0,0,0,1,0,0
Adj 1545,288,-1,-1,2023-02-17,2023-02-20,2023-02-16,2023-02-17,Val,2,1,0.0,0转-1持有路径短段,0转-1持有,-0.01043467568257872,True,0,0,2,0,1,0
Adj 1545,290,-1,-1,2023-03-08,2023-03-09,2023-03-07,2023-03-08,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.001984567342074639,True,0,0,2,0,1,0
Adj 1545,294,-1,-1,2023-03-31,2023-04-03,2023-03-30,2023-03-31,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.02057354795744981,True,0,0,2,0,0,0
Adj 1545,295,0,0,2023-04-04,2023-04-04,2023-04-03,2023-04-03,Val,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,297,0,0,2023-04-21,2023-04-21,2023-04-20,2023-04-20,Val,1,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,300,0,0,2023-05-10,2023-05-10,2023-05-09,2023-05-09,Val,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,1,0
Adj 1545,303,-1,-1,2023-05-30,2023-05-31,2023-05-29,2023-05-30,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.0034003081714841787,True,0,0,2,0,0,0
Adj 1545,305,-1,-1,2023-06-08,2023-06-09,2023-06-07,2023-06-08,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.0046734182406166225,True,0,0,2,0,0,0
Adj 1545,306,0,0,2023-06-12,2023-06-13,2023-06-09,2023-06-12,Val,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,313,-1,-1,2023-09-04,2023-09-04,2023-09-01,2023-09-01,Val,1,0,0.0,0转-1持有路径短段,0转-1持有,-0.00830559235468531,True,0,0,1,0,0,0
Adj 1545,314,0,0,2023-09-05,2023-09-05,2023-09-04,2023-09-04,Val,1,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,316,-1,-1,2023-09-11,2023-09-12,2023-09-08,2023-09-11,Val,2,1,0.0,0转-1持有路径短段,0转-1持有,-0.0073198975305280856,True,0,0,2,0,0,0
Adj 1545,318,1,+1,2023-09-28,2023-10-09,2023-09-27,2023-09-28,Val,2,0,0.0,0转+1持有路径短段,0转+1持有,-0.003867787953439339,True,0,0,0,2,0,0
Adj 1545,319,0,0,2023-10-10,2023-10-11,2023-10-09,2023-10-10,Val,2,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,320,-1,-1,2023-10-12,2023-10-12,2023-10-11,2023-10-11,Val,1,0,0.0,0转-1持有路径短段,0转-1持有,0.001799327531769368,True,0,0,1,0,0,0
Adj 1545,322,-1,-1,2023-10-19,2023-10-20,2023-10-18,2023-10-19,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.017580181073602485,True,0,0,2,0,0,0
Adj 1545,327,0,0,2023-11-20,2023-11-21,2023-11-17,2023-11-20,Val,2,1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,329,-1,-1,2023-11-29,2023-11-30,2023-11-28,2023-11-29,Val,2,1,0.0,0转-1持有路径短段,0转-1持有,0.008517224302964865,True,0,0,2,0,0,0
Adj 1545,338,0,0,2024-01-23,2024-01-24,2024-01-22,2024-01-23,Val,2,-1,1.0,退出反转切出的0段,-1退出到0,0.0,True,0,2,0,0,0,0
Adj 1545,341,0,0,2024-02-06,2024-02-07,2024-02-05,2024-02-06,Val,2,-1,1.0,退出反转切出的0段,-1退出到0；基础0,0.0,True,0,1,0,0,0,0
Adj 1545,345,0,0,2024-03-20,2024-03-20,2024-03-19,2024-03-19,Val,1,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,346,-1,-1,2024-03-21,2024-03-22,2024-03-20,2024-03-21,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.02483212552181502,True,0,0,2,0,0,0
Adj 1545,351,0,0,2024-04-25,2024-04-26,2024-04-24,2024-04-25,Val,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,353,0,0,2024-05-10,2024-05-13,2024-05-09,2024-05-10,Val,2,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,2,0,0,0,0,0
Adj 1545,354,1,+1,2024-05-14,2024-05-15,2024-05-13,2024-05-14,Val,2,0,0.0,基础+1短段,基础+1,-0.008612110869310574,True,0,0,0,0,0,0
Adj 1545,355,0,0,2024-05-16,2024-05-16,2024-05-15,2024-05-15,Val,1,1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,360,-1,-1,2024-06-13,2024-06-14,2024-06-12,2024-06-13,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.00813010282343063,True,0,0,2,0,0,0
Adj 1545,363,0,0,2024-07-03,2024-07-04,2024-07-02,2024-07-03,Val,2,-1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,366,-1,-1,2024-07-24,2024-07-25,2024-07-23,2024-07-24,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.008798365397669206,True,0,0,2,0,0,0
Adj 1545,367,0,0,2024-07-26,2024-07-26,2024-07-25,2024-07-25,Val,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
