date,target_date,open,close,target_return,target_bp,phase,up_score,up_predicted,up_actual_extreme,up_score_excess,down_score,down_predicted,down_actual_extreme,down_score_excess,conflict,marker
2021-12-29,2021-12-30,7275.6736,7247.7741,-0.004074165723982004,-40.74165723982004,Development,0.3596187120771912,0,0,-0.4538927632927263,0.4345448201089855,0,0,-0.24867000977915582,0,none
2021-12-30,2021-12-31,7246.0313,7310.96,0.010337382892618763,103.37382892618763,Development,0.3425483534780428,0,0,-0.4709631218918747,0.4260394252981804,0,0,-0.2571754045899609,0,none
2021-12-31,2022-01-04,7320.9363,7359.4024,0.009133968287635463,91.33968287635463,Development,0.3956199666721557,0,0,-0.4178915086977618,0.4480173871422824,0,0,-0.2351974427458589,0,none
2022-01-04,2022-01-05,7387.8055,7354.4562,-0.005943036805719948,-59.43036805719948,Development,0.35726181933009676,0,0,-0.45624965603982076,0.374831913209025,0,0,-0.3083829166791163,0,none
2022-01-05,2022-01-06,7343.8995,7222.6747,-0.021235257917132544,-212.35257917132543,Development,0.41781347057719087,0,0,-0.39569800479272665,0.3023872918913606,0,1,-0.3808275379967807,0,none
2022-01-06,2022-01-07,7187.9499,7229.9601,0.006185185013601879,61.8518501360188,Development,0.8974982966010605,1,0,0.08398682123114298,0.2632616990730027,0,0,-0.41995313081513863,0,up
2022-01-07,2022-01-10,7232.4087,7175.676,-0.009812941019220922,-98.12941019220922,Development,0.5245329464724351,0,0,-0.28897852889748243,0.4305500959939199,0,0,-0.2526647338942214,0,none
2022-01-10,2022-01-11,7161.4375,7191.4511,0.0035716292992853393,35.7162929928534,Development,0.8150788138475031,1,0,0.0015673384775856114,0.4306167601572672,0,0,-0.2525980697308741,0,up
2022-01-11,2022-01-12,7187.0155,7135.2232,-0.003734415210319253,-37.34415210319253,Development,0.4828223109216087,0,0,-0.3306891644483088,0.462002674981714,0,0,-0.22121215490642732,0,none
2022-01-12,2022-01-13,7160.1762,7196.9327,0.006014824048603762,60.14824048603762,Development,0.6904434156455443,0,0,-0.12306805972437318,0.4200722096067676,0,0,-0.2631426202813737,0,none
2022-01-13,2022-01-14,7203.2434,7097.7594,-0.019410742110977486,-194.10742110977486,Development,0.46066161054144683,0,0,-0.3528498648284707,0.420768141399281,0,1,-0.2624466884888603,0,none
