date,target_date,open,high,low,close,volume,amount,prev_close,phase,target_return,target_bp,score,score_threshold,score_excess,predicted,actual_extreme,correct,direction_correct,signed_return_bp,indicator_1,indicator_2,indicator_3,indicator_4,prediction_label
2019-02-15,2019-02-18,4523.9449,4544.3864,4497.3858,4502.7348,9351160700.0,67254618818.2,4532.1699,Development,0.0008894007528694736,8.894007528694736,0.4244552093901389,0.6832148298881413,-0.2587596204980024,0,0,0,0,-8.894007528694736,0.3096085817204253,0.3607344180628707,0.7737157242599195,0.29978247006505143,
2019-02-18,2019-02-19,4527.9685,4660.999,4527.9685,4660.999,12412400400.0,92189941712.6,4502.7348,Development,0.034310463953095116,343.10463953095115,0.4258044767138806,0.6832148298881413,-0.2574103531742607,0,0,0,0,-343.10463953095115,0.3078859007211823,0.36898908405258074,0.7696840043736362,0.3029740373234753,
2019-02-19,2019-02-20,4683.3252,4706.5253,4614.2779,4667.2836,14387476800.0,105704251187.5,4660.999,Development,-0.0034103546770573034,-34.10354677057303,0.42271626488297653,0.6832148298881413,-0.2604985650051648,0,0,0,0,34.10354677057303,0.2920679896492268,0.3766072591539688,0.7598393379736929,0.3174903842807234,
2019-02-20,2019-02-21,4667.3534,4677.9779,4619.46,4667.6243,12021312900.0,87303394554.9,4667.2836,Development,-0.00022968048659011142,-2.296804865901114,0.41166633613193604,0.6832148298881413,-0.27154849375620527,0,0,0,0,2.296804865901114,0.3253852438856381,0.23996288833067145,0.8285530133029478,0.32227550969739094,
2019-02-21,2019-02-22,4666.2814,4750.418,4643.1096,4659.1431,14595111300.0,111329120909.4,4667.6243,Development,-0.0031595608443160117,-31.595608443160117,0.3694355856995234,0.6832148298881413,-0.3137792441886179,0,0,0,0,31.595608443160117,0.2774273227870597,0.14959022367262684,0.8242973764149172,0.3242475657019116,
2019-02-22,2019-02-25,4651.538,4777.2977,4649.2158,4777.2977,14616614200.0,111540083318.7,4659.1431,Development,0.040632883145316656,406.3288314531666,0.370642330015582,0.6832148298881413,-0.3125724998725593,0,0,0,0,-406.3288314531666,0.29239325958064216,0.14197030598711588,0.8201520795993363,0.31902174106198233,
2019-02-25,2019-02-26,4840.5434,5045.0755,4835.4825,5044.3466,24178357900.0,190541189539.8,4777.2977,Development,0.045189265320914274,451.89265320914274,0.38631317001802973,0.6832148298881413,-0.2969016598701116,0,0,0,0,-451.89265320914274,0.3090607305484284,0.1781283547701723,0.8161126859855631,0.32382369611932454,
2019-02-26,2019-02-27,5059.284,5149.6229,5004.552,5038.5435,26283326500.0,196257557763.0,5044.3466,Development,-0.0063045482325166935,-63.04548232516694,0.38502513092127166,0.6832148298881413,-0.29818969896686964,0,0,0,0,63.04548232516694,0.2185604646660013,0.2097065710001701,0.8763470448329007,0.37000239494715875,
2019-02-27,2019-02-28,5027.3875,5093.7952,4964.623,5017.8842,20885408700.0,155472037772.2,5038.5435,Development,-0.001978602206414326,-19.78602206414326,0.3994091125306477,0.6832148298881413,-0.2838057173574936,0,0,0,0,19.78602206414326,0.24504964783813749,0.2358207601183735,0.9192316463108081,0.2989466077759912,
2019-02-28,2019-03-01,5017.4403,5072.6687,4994.0501,5025.2913,15604287700.0,116972246659.7,5017.8842,Development,0.005936772182421501,59.36772182421501,0.4407768862962631,0.6832148298881413,-0.2424379435918782,0,0,0,0,-59.36772182421501,0.30301210230531866,0.3197902225866176,0.9090404892886667,0.3013912596543448,
