series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,123,0,2020-08-27,2020-09-02,2020,Train,5,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,124,1,2020-09-03,2020-09-09,2020,Train,5,-0.046714016586007934,True,0转+1持有,5,-0.046714016586007934,True
仅零段反转（0→-1/0→+1）,125,-1,2020-09-10,2020-09-18,2020,Train,7,-0.014522332553197126,True,0转-1持有；基础-1,1,-0.014522332553197126,True
仅零段反转（0→-1/0→+1）,126,1,2020-09-21,2020-09-23,2020,Train,3,-0.02143734972259137,True,0转+1持有,3,-0.02143734972259137,True
仅零段反转（0→-1/0→+1）,127,0,2020-09-24,2020-09-24,2020,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,128,-1,2020-09-25,2020-09-25,2020,Train,1,0.0026595337583705803,True,0转-1持有,1,0.0026595337583705803,True
仅零段反转（0→-1/0→+1）,129,0,2020-09-28,2020-10-15,2020,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,130,1,2020-10-16,2020-10-20,2020,Train,3,-0.004502999307811173,True,0转+1持有,3,-0.004502999307811173,True
仅零段反转（0→-1/0→+1）,131,0,2020-10-21,2020-10-21,2020,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,132,-1,2020-10-22,2020-10-22,2020,Train,1,0.0031264551047279765,True,0转-1持有,1,0.0031264551047279765,True
仅零段反转（0→-1/0→+1）,133,0,2020-10-23,2020-10-26,2020,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,134,-1,2020-10-27,2020-11-03,2020,Train,6,-0.010120488616025325,True,基础-1,0,-0.010120488616025325,True
仅零段反转（0→-1/0→+1）,135,0,2020-11-04,2020-11-12,2020,Train,7,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,136,-1,2020-11-13,2020-11-16,2020,Train,2,-0.012080638822143719,True,0转-1持有,2,-0.012080638822143719,True
仅零段反转（0→-1/0→+1）,137,0,2020-11-17,2020-11-19,2020,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,138,-1,2020-11-20,2020-11-23,2020,Train,2,-0.018489248849635098,True,0转-1持有,2,-0.018489248849635098,True
仅零段反转（0→-1/0→+1）,139,0,2020-11-24,2020-12-04,2020,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,140,-1,2020-12-07,2020-12-08,2020,Train,2,0.005485637163710644,True,0转-1持有,2,0.005485637163710644,True
仅零段反转（0→-1/0→+1）,141,0,2020-12-09,2020-12-11,2020,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,142,-1,2020-12-14,2020-12-16,2020,Train,3,-0.0028264328971592256,True,0转-1持有,3,-0.0028264328971592256,True
仅零段反转（0→-1/0→+1）,143,0,2020-12-17,2020-12-22,2020,Train,4,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,144,-1,2020-12-23,2020-12-24,2020,Train,2,0.010130645893314139,True,0转-1持有,2,0.010130645893314139,True
仅零段反转（0→-1/0→+1）,145,0,2020-12-25,2020-12-29,2020,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,146,-1,2020-12-30,2020-12-31,2020,Train,2,-0.031890873184904134,True,0转-1持有,2,-0.031890873184904134,True
仅零段反转（0→-1/0→+1）,147,0,2021-01-04,2021-01-05,2021,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,148,1,2021-01-06,2021-01-11,2021,Train,4,-0.01888167736796731,True,0转+1持有,4,-0.01888167736796731,True
仅零段反转（0→-1/0→+1）,149,0,2021-01-12,2021-01-12,2021,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,150,-1,2021-01-13,2021-01-14,2021,Train,2,0.018846333429624607,True,0转-1持有,2,0.018846333429624607,True
