date,three_state,minus_exit_signal,plus_exit_signal,nonzero_final_three_state,close,o2o_h1,phase
2022-11-10,0,0,0,0,6089.6951,0.02266832277102293,Development
2022-11-11,0,0,0,0,6138.6211,-0.013343637739128278,Development
2022-11-14,0,0,0,0,6129.5129,-0.002456081349307304,Development
2022-11-15,1,0,0,1,6236.3838,0.018526550729312197,Development
2022-11-16,1,0,0,1,6203.9174,-0.008959228855754175,Development
2022-11-17,1,0,0,1,6217.2052,0.004916952907996874,Development
2022-11-18,1,0,0,1,6191.6477,-0.010521896597392444,Development
2022-11-21,1,0,0,1,6189.7092,0.00495237468137355,Development
2022-11-22,1,0,0,1,6125.3999,-0.010341908740772676,Development
2022-11-23,1,0,0,1,6115.6049,0.0020164306798922116,Development
2022-11-24,0,0,0,0,6120.0659,-0.005136994294811181,Development
2022-11-25,0,0,0,0,6087.8591,-0.015630735371684468,Development
2022-11-28,0,0,0,0,6055.2843,0.011932755837116504,Development
2022-11-29,-1,0,0,-1,6163.8214,0.014053069436763987,Development
2022-11-30,-1,0,0,-1,6156.1465,0.008855159958094383,Development
2022-12-01,-1,0,0,-1,6186.1021,-0.005372152015222786,Development
2022-12-02,-1,0,0,-1,6168.0127,0.0038940594776908366,Development
2022-12-05,-1,0,0,-1,6215.1244,8.769779549289147e-05,Development
2022-12-06,0,0,0,0,6211.2515,-0.0007208355591743487,Development
2022-12-07,0,0,0,0,6204.0051,0.00017921756463779026,Development
2022-12-08,0,0,0,0,6186.2835,-0.002156758556476346,Development
2022-12-09,0,0,0,0,6192.3009,-0.0007355240206111668,Development
2022-12-12,0,0,0,0,6154.8092,-0.0044498647125098545,Development
2022-12-13,0,0,0,0,6121.6615,-0.005087411580576795,Development
2022-12-14,0,0,0,0,6096.3856,-0.00527796814331194,Development
2022-12-15,-1,0,0,-1,6101.8787,-0.002982109804181454,Development
2022-12-16,-1,0,0,-1,6072.8627,-0.002151250624922052,Development
2022-12-19,-1,0,0,-1,5936.4751,-0.023084641799565375,Development
2022-12-20,-1,0,0,-1,5878.0314,-0.006716391395902965,Development
2022-12-21,-1,0,0,-1,5845.835,-0.0019642227145053592,Development
2022-12-22,-1,1,0,0,5779.0555,-0.0197308360106917,Development
2022-12-23,-1,1,0,0,5763.3458,0.0029763303356187265,Development
2022-12-26,-1,1,0,0,5843.2555,0.015372620114102897,Development
2022-12-27,-1,1,0,0,5885.6622,0.001997574394678958,Development
2022-12-28,0,0,0,0,5862.0967,-0.004346655250275666,Development
2022-12-29,0,0,0,0,5857.4021,0.005362064527972388,Development
2022-12-30,0,0,0,0,5864.4669,-0.002336621069567224,Development
2023-01-03,0,0,0,0,5955.8969,0.01551736209587129,Validation
2023-01-04,0,0,0,0,5952.4538,0.0011644842973872471,Validation
2023-01-05,0,0,0,0,6010.4641,0.007506630910721235,Validation
2023-01-06,0,0,0,0,6012.8152,0.004034843698960122,Validation
2023-01-09,0,0,0,0,6040.0193,0.0026942476767046752,Validation
2023-01-10,0,0,0,0,6048.2968,0.0007276362649164536,Validation
2023-01-11,0,0,0,0,6014.1565,-0.004377273594502906,Validation
2023-01-12,0,0,0,0,6015.2871,0.001389608174994006,Validation
2023-01-13,0,0,0,0,6057.6902,0.006297784918743776,Validation
2023-01-16,1,0,0,1,6126.1772,0.010022060792944432,Validation
2023-01-17,1,0,0,1,6132.6391,0.0016243281009968857,Validation
2023-01-18,1,0,0,1,6151.4557,0.0009658303336168572,Validation
2023-01-19,1,0,0,1,6204.3261,0.011130526742040736,Validation
2023-01-20,1,0,0,1,6251.4337,0.018965291916828608,Validation
2023-01-30,1,0,0,1,6283.3272,-0.010357167612839557,Validation
2023-01-31,1,0,0,1,6289.15,0.005458424272228646,Validation
2023-02-01,1,0,0,1,6365.9051,0.013141544947617323,Validation
2023-02-02,1,0,0,1,6370.1411,-0.004478014343055836,Validation
