date,open,high,low,close,volume,amount,prev_close,next_execution_date
2023-06-27,5897.6948,5956.181,5884.9486,5948.0029,9303915500.0,118625135535.9,5887.0324,2023-06-28
2023-06-28,5945.6446,5951.1273,5857.1313,5942.3112,9394430200.0,128454934662.7,5948.0029,2023-06-29
2023-06-29,5928.709,5964.8577,5924.2783,5940.5782,8837685700.0,123484005846.8,5942.3112,2023-06-30
2023-06-30,5931.8714,6016.4459,5927.9362,5998.7293,9450466800.0,133367471516.9,5940.5782,2023-07-03
2023-07-03,6009.2697,6056.1632,5997.8471,6042.3122,11307590500.0,153065229521.6,5998.7293,2023-07-04
2023-07-04,6042.7217,6059.5729,6027.2909,6055.2577,10558376500.0,144484638910.0,6042.3122,2023-07-05
2023-07-05,6050.3461,6059.3789,6011.87,6020.8212,10412904100.0,142198505817.2,6055.2577,2023-07-06
2023-07-06,6010.6552,6042.2947,5983.4842,5988.5525,9396503800.0,131979482562.6,6020.8212,2023-07-07
2023-07-07,5973.9756,5994.2828,5936.2272,5961.6057,9411834600.0,121687700019.0,5988.5525,2023-07-10
2023-07-10,5980.6083,6003.4018,5958.7306,5984.2814,8516856400.0,113940191969.5,5961.6057,2023-07-11
2023-07-11,5991.0207,6029.2318,5972.1378,6029.2318,8453189700.0,117919697046.3,5984.2814,2023-07-12
2023-07-12,6030.6447,6033.5832,5960.431,5962.7938,9669224100.0,134419386322.7,6029.2318,2023-07-13
2023-07-13,5986.2518,6049.0626,5986.2518,6044.0583,9965639800.0,138941870295.0,5962.7938,2023-07-14
2023-07-14,6052.9495,6055.5275,6026.3263,6030.5188,9496319700.0,137880575951.9,6044.0583,2023-07-17
2023-07-17,6012.7648,6018.0694,5985.4382,6012.6895,8842021200.0,124991560881.3,6030.5188,2023-07-18
2023-07-18,6015.9819,6027.6063,5984.0598,6001.7998,8771991000.0,121310187887.2,6012.6895,2023-07-19
2023-07-19,5998.3813,6017.4492,5962.9863,5993.4126,7779103400.0,104054562581.1,6001.7998,2023-07-20
2023-07-20,5996.838,6009.4266,5920.151,5925.4843,9119536800.0,123684933457.2,5993.4126,2023-07-21
2023-07-21,5914.3541,5961.0501,5904.7877,5925.6255,8197530700.0,107065413903.9,5925.4843,2023-07-24
2023-07-24,5913.5709,5954.2372,5896.4481,5916.7141,7592800100.0,99623302711.1,5925.6255,2023-07-25
2023-07-25,5976.9683,6016.7544,5971.7319,6016.6312,13189639200.0,145732847141.7,5916.7141,2023-07-26
2023-07-26,6014.7614,6015.5833,5984.3913,6001.5402,12182521900.0,120547387629.8,6016.6312,2023-07-27
2023-07-27,5998.8485,6017.6706,5952.8932,5961.1843,12300082500.0,117272101565.3,6001.5402,2023-07-28
2023-07-28,5945.9139,6049.7643,5932.0603,6043.2438,16317187100.0,149147477703.5,5961.1843,2023-07-31
2023-07-31,6059.1096,6133.718,6059.1096,6088.2431,18655110300.0,179595743483.0,6043.2438,2023-08-01
2023-08-01,6086.8982,6113.9839,6077.1053,6098.8789,18758860000.0,166628364673.4,6088.2431,2023-08-02
2023-08-02,6088.1355,6111.2437,6059.8653,6077.4645,14715452900.0,135758673344.6,6098.8789,2023-08-03
2023-08-03,6062.6427,6101.8106,6047.676,6098.6868,14647901100.0,138777463929.6,6077.4645,2023-08-04
2023-08-04,6126.1504,6164.1552,6105.6391,6128.556,19694350100.0,186850093568.5,6098.6868,2023-08-07
2023-08-07,6115.8362,6117.9163,6072.5354,6090.7307,14531913700.0,154416328543.1,6128.556,2023-08-08
2023-08-08,6077.3032,6088.0983,6044.2376,6066.1019,12154572800.0,131357351526.3,6090.7307,2023-08-09
2023-08-09,6049.449,6062.0243,6012.247,6021.7506,9880917400.0,116294678353.9,6066.1019,2023-08-10
2023-08-10,6013.3501,6040.4605,5999.5626,6031.7105,9984263800.0,103950301369.3,6021.7506,2023-08-11
2023-08-11,6030.0453,6030.0453,5913.3502,5913.3502,11307200700.0,115393420336.3,6031.7105,2023-08-14
2023-08-14,5864.4821,5919.8035,5833.4629,5916.8029,10367570600.0,116321082192.1,5913.3502,2023-08-15
2023-08-15,5919.7688,5926.4197,5830.9695,5879.7782,9241738100.0,107626210841.9,5916.8029,2023-08-16
2023-08-16,5858.5966,5891.8116,5833.2155,5833.2155,10495042500.0,114013689380.0,5879.7782,2023-08-17
