series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,aligned_segment_return,is_directional
Adj 1545,17,0,2018-04-03,2018-04-16,2018,Train,8,0.0,True,0.0,False
Adj 1545,18,-1,2018-04-17,2018-04-18,2018,Train,2,0.009737005013244926,True,0.009737005013244926,True
Adj 1545,19,0,2018-04-19,2018-04-25,2018,Train,5,0.0,True,0.0,False
Adj 1545,20,-1,2018-04-26,2018-05-03,2018,Train,4,0.010001638198241514,True,0.010001638198241514,True
Adj 1545,21,0,2018-05-04,2018-05-11,2018,Train,6,0.0,True,0.0,False
Adj 1545,22,1,2018-05-14,2018-05-15,2018,Train,2,0.0033991652443225995,True,0.0033991652443225995,True
Adj 1545,23,0,2018-05-16,2018-05-30,2018,Train,11,0.0,True,0.0,False
Adj 1545,24,-1,2018-05-31,2018-06-01,2018,Train,2,0.005230286418030916,True,0.005230286418030916,True
Adj 1545,25,0,2018-06-04,2018-06-05,2018,Train,2,0.0,True,0.0,False
Adj 1545,26,1,2018-06-06,2018-06-08,2018,Train,3,-0.019654438978525035,True,-0.019654438978525035,True
Adj 1545,27,0,2018-06-11,2018-06-15,2018,Train,5,0.0,True,0.0,False
Adj 1545,28,-1,2018-06-19,2018-06-20,2018,Train,2,0.03632225991229587,True,0.03632225991229587,True
Adj 1545,29,0,2018-06-21,2018-06-29,2018,Train,7,0.0,True,0.0,False
Adj 1545,30,1,2018-07-02,2018-07-05,2018,Train,4,-0.04554497410209979,True,-0.04554497410209979,True
Adj 1545,31,0,2018-07-06,2018-07-17,2018,Train,8,0.0,True,0.0,False
Adj 1545,32,1,2018-07-18,2018-07-25,2018,Train,6,0.020998827968526368,True,0.020998827968526368,True
Adj 1545,33,0,2018-07-26,2018-07-26,2018,Train,1,0.0,True,0.0,False
Adj 1545,34,1,2018-07-27,2018-08-02,2018,Train,5,-0.055530811980927464,True,-0.055530811980927464,True
Adj 1545,35,-1,2018-08-03,2018-08-06,2018,Train,2,0.029631908650936456,True,0.029631908650936456,True
Adj 1545,36,0,2018-08-07,2018-08-07,2018,Train,1,0.0,True,0.0,False
Adj 1545,37,1,2018-08-08,2018-08-10,2018,Train,3,0.008706258031750513,True,0.008706258031750513,True
Adj 1545,38,0,2018-08-13,2018-08-21,2018,Train,7,0.0,True,0.0,False
Adj 1545,39,-1,2018-08-22,2018-08-30,2018,Train,7,0.004077509410887248,True,0.004077509410887248,True
Adj 1545,40,0,2018-08-31,2018-09-04,2018,Train,3,0.0,True,0.0,False
Adj 1545,41,1,2018-09-05,2018-09-10,2018,Train,4,-0.0360865654102448,True,-0.0360865654102448,True
Adj 1545,42,0,2018-09-11,2018-10-11,2018,Train,17,0.0,True,0.0,False
Adj 1545,43,-1,2018-10-12,2018-10-18,2018,Train,5,0.07415011287098583,True,0.07415011287098583,True
Adj 1545,44,0,2018-10-19,2018-10-24,2018,Train,4,0.0,True,0.0,False
Adj 1545,45,1,2018-10-25,2018-11-01,2018,Train,6,0.0583575412470565,True,0.0583575412470565,True
Adj 1545,46,0,2018-11-02,2018-11-19,2018,Train,12,0.0,True,0.0,False
Adj 1545,47,1,2018-11-20,2018-11-26,2018,Train,5,-0.05088213303382105,True,-0.05088213303382105,True
Adj 1545,48,0,2018-11-27,2018-11-27,2018,Train,1,0.0,True,0.0,False
Adj 1545,49,1,2018-11-28,2018-11-29,2018,Train,2,-0.012229804184973103,True,-0.012229804184973103,True
Adj 1545,50,0,2018-11-30,2018-12-03,2018,Train,2,0.0,True,0.0,False
Adj 1545,51,1,2018-12-04,2018-12-05,2018,Train,2,-0.006480980863138641,True,-0.006480980863138641,True
Adj 1545,52,0,2018-12-06,2018-12-24,2018,Train,13,0.0,True,0.0,False
Adj 1545,53,-1,2018-12-25,2019-01-04,2018,Train,7,-0.0015598144296589123,True,-0.0015598144296589123,True
Adj 1545,54,1,2019-01-07,2019-01-25,2019,Train,15,0.02531118752794781,True,0.02531118752794781,True
Adj 1545,55,0,2019-01-28,2019-01-29,2019,Train,2,0.0,True,0.0,False
Adj 1545,56,-1,2019-01-30,2019-01-31,2019,Train,2,0.01092620618104101,True,0.01092620618104101,True
Adj 1545,57,0,2019-02-01,2019-02-11,2019,Train,2,0.0,True,0.0,False
Adj 1545,58,1,2019-02-12,2019-03-11,2019,Train,20,0.22796213936376752,True,0.22796213936376752,True
Adj 1545,59,-1,2019-03-12,2019-03-13,2019,Train,2,0.02145905961050565,True,0.02145905961050565,True
Adj 1545,60,0,2019-03-14,2019-03-27,2019,Train,10,0.0,True,0.0,False
Adj 1545,61,-1,2019-03-28,2019-03-29,2019,Train,2,-0.029688700980503135,True,-0.029688700980503135,True
Adj 1545,62,1,2019-04-01,2019-04-08,2019,Train,5,0.04353739223785924,True,0.04353739223785924,True
Adj 1545,63,0,2019-04-09,2019-04-24,2019,Train,12,0.0,True,0.0,False
Adj 1545,64,-1,2019-04-25,2019-05-07,2019,Train,6,0.1474425659562325,True,0.1474425659562325,True
Adj 1545,65,0,2019-05-08,2019-05-13,2019,Train,4,0.0,True,0.0,False
Adj 1545,66,1,2019-05-14,2019-05-17,2019,Train,4,-0.0002568093892421075,True,-0.0002568093892421075,True
Adj 1545,67,0,2019-05-20,2019-05-20,2019,Train,1,0.0,True,0.0,False
Adj 1545,68,-1,2019-05-21,2019-05-21,2019,Train,1,-0.017248707350539627,True,-0.017248707350539627,True
Adj 1545,69,0,2019-05-22,2019-06-03,2019,Train,9,0.0,True,0.0,False
Adj 1545,70,-1,2019-06-04,2019-06-05,2019,Train,2,0.014707660243164056,True,0.014707660243164056,True
Adj 1545,71,1,2019-06-06,2019-06-12,2019,Train,4,0.017170525760710875,True,0.017170525760710875,True
Adj 1545,72,0,2019-06-13,2019-06-17,2019,Train,3,0.0,True,0.0,False
Adj 1545,73,-1,2019-06-18,2019-06-19,2019,Train,2,-0.010388210029944056,True,-0.010388210029944056,True
Adj 1545,74,1,2019-06-20,2019-06-25,2019,Train,4,0.018981062312173114,True,0.018981062312173114,True
Adj 1545,75,0,2019-06-26,2019-07-05,2019,Train,8,0.0,True,0.0,False
Adj 1545,76,-1,2019-07-08,2019-07-10,2019,Train,3,0.03198851811180359,True,0.03198851811180359,True
Adj 1545,77,0,2019-07-11,2019-07-23,2019,Train,9,0.0,True,0.0,False
Adj 1545,78,-1,2019-07-24,2019-07-25,2019,Train,2,-0.008867247905143039,True,-0.008867247905143039,True
Adj 1545,79,0,2019-07-26,2019-08-02,2019,Train,6,0.0,True,0.0,False
Adj 1545,80,-1,2019-08-05,2019-08-07,2019,Train,3,0.03223813419832555,True,0.03223813419832555,True
Adj 1545,81,0,2019-08-08,2019-08-20,2019,Train,9,0.0,True,0.0,False
Adj 1545,82,1,2019-08-21,2019-09-12,2019,Train,17,0.07967096180631428,True,0.07967096180631428,True
Adj 1545,83,-1,2019-09-16,2019-09-17,2019,Train,2,0.021978120018135372,True,0.021978120018135372,True
Adj 1545,84,0,2019-09-18,2019-09-27,2019,Train,8,0.0,True,0.0,False
Adj 1545,85,-1,2019-09-30,2019-10-09,2019,Train,3,0.00404661872727341,True,0.00404661872727341,True
