实际执行日,三状态,+1反转,-1反转,0转-1,0转+1,大涨,大跌,执行日O2O,阶段,仅零段反转状态,仅零段反转原因,仅零段反转日收益
2019-01-09,0,0,0,0,1,0,0,0.0007764630511049,Train,1,0转+1持有,0.0007764630511049
2019-01-10,0,0,0,0,1,0,0,-0.0016704747114919,Train,1,0转+1持有,-0.0016704747114919
2019-01-11,0,0,0,0,1,0,0,0.0082034497763925,Train,1,0转+1持有,0.0082034497763925
2019-01-14,0,0,0,0,1,0,0,-0.0079993998411914,Train,1,0转+1持有,-0.0079993998411914
2019-01-15,1,0,0,0,0,0,0,0.0149637415370673,Train,1,基础+1,0.0149637415370673
2019-01-16,1,0,0,0,0,0,0,-0.002862821025573,Train,1,基础+1,-0.002862821025573
2019-01-17,1,0,0,0,0,0,0,-0.0063424777412997,Train,1,基础+1,-0.0063424777412997
2019-01-18,1,0,0,0,0,0,0,0.0110423890236548,Train,1,基础+1,0.0110423890236548
2019-01-21,1,0,0,0,0,0,0,0.0037102673233699,Train,1,基础+1,0.0037102673233699
2019-01-22,1,0,0,0,0,0,0,-0.0164541652336904,Train,1,基础+1,-0.0164541652336904
2019-01-23,1,0,0,0,0,0,0,0.0045990660949284,Train,1,基础+1,0.0045990660949284
2019-01-24,1,0,0,0,0,0,0,0.0052571727973065,Train,1,基础+1,0.0052571727973065
2019-01-25,1,0,0,0,0,0,0,1.8173805290455647e-05,Train,1,基础+1,1.8173805290455647e-05
2019-01-28,0,0,0,0,0,0,0,-0.0092187197756569,Train,0,基础0,-0.0
2019-01-29,0,0,0,0,0,0,0,-0.0153888350519864,Train,0,基础0,-0.0
2019-01-30,0,0,0,1,0,0,0,-0.00738969794308,Train,-1,0转-1持有,0.00738969794308
2019-01-31,0,0,0,1,0,0,0,-0.0035365082379609,Train,-1,0转-1持有,0.0035365082379609
2019-02-01,0,0,0,0,0,1,0,0.0279512367997611,Train,0,基础0,0.0
2019-02-11,0,0,0,0,0,0,0,0.0214207624233759,Train,0,基础0,0.0
2019-02-12,0,0,0,0,1,0,0,0.0100683817024602,Train,1,0转+1持有,0.0100683817024602
2019-02-13,1,0,0,0,0,0,0,0.0146560179839059,Train,1,基础+1,0.0146560179839059
2019-02-14,1,0,0,0,0,0,0,0.0035725087528604,Train,1,基础+1,0.0035725087528604
2019-02-15,1,0,0,0,0,0,0,0.0008894007528694,Train,1,基础+1,0.0008894007528694
2019-02-18,1,0,0,0,0,0,0,0.0343104639530951,Train,1,基础+1,0.0343104639530951
2019-02-19,1,0,0,0,0,0,0,-0.0034103546770573,Train,1,基础+1,-0.0034103546770573
2019-02-20,1,0,0,0,0,0,0,-0.0002296804865901,Train,1,基础+1,-0.0002296804865901
2019-02-21,1,0,0,0,0,0,0,-0.003159560844316,Train,1,基础+1,-0.003159560844316
2019-02-22,1,0,0,0,0,0,0,0.0406328831453166,Train,1,基础+1,0.0406328831453166
2019-02-25,1,0,0,0,0,0,0,0.0451892653209142,Train,1,基础+1,0.0451892653209142
2019-02-26,1,0,0,0,0,0,0,-0.0063045482325166,Train,1,基础+1,-0.0063045482325166
2019-02-27,1,0,0,0,0,0,0,-0.0019786022064143,Train,1,基础+1,-0.0019786022064143
2019-02-28,1,0,0,0,0,1,0,0.0059367721824215,Train,1,基础+1,0.0059367721824215
2019-03-01,1,0,0,0,0,0,0,0.0130217624221709,Train,1,基础+1,0.0130217624221709
2019-03-04,1,0,0,0,0,0,0,0.0065850223691736,Train,1,基础+1,0.0065850223691736
2019-03-05,1,0,0,0,0,1,0,0.0352673183357374,Train,1,基础+1,0.0352673183357374
2019-03-06,1,0,0,0,0,0,0,0.0099657329922577,Train,1,基础+1,0.0099657329922577
2019-03-07,1,0,0,0,0,0,0,-0.0076415477467535,Train,1,基础+1,-0.0076415477467535
2019-03-08,1,0,0,0,0,0,0,-0.0113022107408848,Train,1,基础+1,-0.0113022107408848
2019-03-11,1,0,0,0,0,1,0,0.0418931143851168,Train,1,基础+1,0.0418931143851168
