date,close_generated,score_generated,predicted_generated,actual_extreme_generated,correct_generated,direction_correct_generated,o2o_bp_generated,signed_o2o_bp_generated,phase_generated,close_local,score_local,predicted_local,actual_extreme_local,correct_local,direction_correct_local,o2o_bp_local,signed_o2o_bp_local,phase_local,_merge,match_close,match_score,match_predicted,match_actual_extreme,match_correct,match_direction_correct,match_o2o_bp,match_signed_o2o_bp,match_phase,all_columns_match,row_status
2020-07-22,6620.6893,0.5394550388233098,0,0,0,0,34.68551017262289,-34.68551017262289,development,6620.6893,0.5394550388233098,0,0,0,0,34.68551017262289,-34.68551017262289,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-23,6620.0859,0.5220135985043078,0,1,0,0,-425.56038790675376,425.56038790675376,development,6620.0859,0.5220135985043078,0,1,0,0,-425.56038790675376,425.56038790675376,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-24,6283.9831,0.5277175134968621,0,0,0,0,65.18445565155906,-65.18445565155906,development,6283.9831,0.5277175134968621,0,0,0,0,65.18445565155906,-65.18445565155906,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-27,6298.7351,0.5712665152905168,0,0,0,0,-7.365796142951853,7.365796142951853,development,6298.7351,0.5712665152905168,0,0,0,0,-7.365796142951853,7.365796142951853,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-28,6359.6637,0.5354801362976472,0,0,0,0,327.53909674202,-327.53909674202,development,6359.6637,0.5354801362976472,0,0,0,0,327.53909674202,-327.53909674202,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-29,6530.2712,0.5283843835312442,0,0,0,0,-75.29249275356253,75.29249275356253,development,6530.2712,0.5283843835312442,0,0,0,0,-75.29249275356253,75.29249275356253,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-30,6511.436,0.5198956771810819,0,0,0,0,209.17181215928335,-209.17181215928335,development,6511.436,0.5198956771810819,0,0,0,0,209.17181215928335,-209.17181215928335,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-07-31,6579.6696,0.45449699076491,0,0,0,0,185.59824541999336,-185.59824541999336,development,6579.6696,0.45449699076491,0,0,0,0,185.59824541999336,-185.59824541999336,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-03,6739.8085,0.4487905636320501,0,0,0,0,-91.45040706333708,91.45040706333708,development,6739.8085,0.4487905636320501,0,0,0,0,-91.45040706333708,91.45040706333708,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-04,6697.7071,0.473332833624687,0,0,0,0,124.89683331474266,-124.89683331474266,development,6697.7071,0.473332833624687,0,0,0,0,124.89683331474266,-124.89683331474266,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
